# Numerical radiation field:  ISRF
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
332.20000 2.04389e+06
333.20000 2.04820e+06
334.20000 2.05250e+06
335.20000 2.05679e+06
336.20000 2.06109e+06
337.20000 2.06538e+06
338.20000 2.06966e+06
339.20000 2.07394e+06
340.20000 2.07822e+06
341.20000 2.08250e+06
342.20000 2.08677e+06
343.20000 2.09103e+06
344.20000 2.09530e+06
345.20000 2.09956e+06
346.20000 2.10381e+06
347.20000 2.10806e+06
348.20000 2.11231e+06
349.20000 2.11656e+06
350.20000 2.12080e+06
351.20000 2.12503e+06
352.20000 2.12927e+06
353.20000 2.13350e+06
354.20000 2.13773e+06
355.20000 2.14195e+06
356.20000 2.14617e+06
357.20000 2.15038e+06
358.20000 2.15460e+06
359.20000 2.15880e+06
360.20000 2.16301e+06
361.20000 2.16721e+06
362.20000 2.17141e+06
363.20000 2.17560e+06
364.20000 2.17980e+06
365.20000 2.18398e+06
366.20000 2.18817e+06
367.20000 2.19235e+06
368.20000 2.19653e+06
369.20000 2.20070e+06
370.20000 2.20487e+06
371.20000 2.20904e+06
372.20000 2.21320e+06
373.20000 2.21736e+06
374.20000 2.22152e+06
375.20000 2.22568e+06
376.20000 2.22983e+06
377.20000 2.23397e+06
378.20000 2.23812e+06
379.20000 2.24226e+06
380.20000 2.24640e+06
381.20000 2.25053e+06
382.20000 2.25466e+06
383.20000 2.25879e+06
384.20000 2.26291e+06
385.20000 2.26704e+06
386.20000 2.27115e+06
387.20000 2.27527e+06
388.20000 2.27938e+06
389.20000 2.28349e+06
390.20000 2.28759e+06
391.20000 2.29170e+06
392.20000 2.29580e+06
393.20000 2.29989e+06
394.20000 2.30398e+06
395.20000 2.30807e+06
396.20000 2.31216e+06
397.20000 2.31624e+06
398.20000 2.32032e+06
399.20000 2.32440e+06
